qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.1, Tsallis,Catboost,0.9414,0.02,0.9434,0.03,0.9455,0.02,0.9434,0.03,0.9064,0.04,0.9427,0.03
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.2, Tsallis,Catboost,0.9406,0.02,0.9413,0.03,0.9441,0.02,0.9413,0.03,0.9050,0.04,0.9407,0.03
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.3, Tsallis,Catboost,0.9414,0.02,0.9430,0.02,0.9449,0.02,0.9430,0.02,0.9064,0.03,0.9423,0.02
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.4, Tsallis,Catboost,0.9414,0.02,0.9426,0.02,0.9446,0.02,0.9426,0.02,0.9063,0.03,0.9420,0.02
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.5, Tsallis,Catboost,0.9459,0.02,0.9471,0.02,0.9488,0.02,0.9471,0.02,0.9136,0.03,0.9466,0.02
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.6, Tsallis,Catboost,0.9466,0.02,0.9467,0.03,0.9495,0.02,0.9467,0.03,0.9146,0.04,0.9462,0.03
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.7, Tsallis,Catboost,0.9429,0.02,0.9435,0.03,0.9457,0.02,0.9435,0.03,0.9086,0.04,0.9430,0.03
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
0.8, Tsallis,Catboost,0.9451,0.02,0.9451,0.03,0.9475,0.02,0.9451,0.03,0.9123,0.04,0.9446,0.03
qParameter,Reduction,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
