iter	MultiClass
0	1.011912224
1	0.9372680599
2	0.8686316985
3	0.8093468876
4	0.7625409725
5	0.7192443094
6	0.6820013538
7	0.650201913
8	0.62102188
9	0.5975331224
10	0.5738963075
11	0.5531522009
12	0.5338161354
13	0.5131340791
14	0.4948427372
15	0.4779642289
16	0.4623866925
17	0.4475128589
18	0.4345610929
19	0.4220106874
20	0.409080282
21	0.398770307
22	0.3893258958
23	0.3810312672
24	0.3737371345
25	0.3660801045
26	0.3597064621
27	0.3529289713
28	0.3460456208
29	0.3399191468
30	0.3337522403
31	0.3292175327
32	0.3243323387
33	0.3193432008
34	0.3146778413
35	0.3116315969
36	0.3081500661
37	0.3064888247
38	0.3017969528
39	0.2978230422
40	0.2948202098
41	0.2920270581
42	0.2885077509
43	0.2852505576
44	0.283322338
45	0.2808026339
46	0.2797942967
47	0.2780001699
48	0.2749789514
49	0.2730055497
50	0.270903637
51	0.2685897452
52	0.2671261287
53	0.2657765133
54	0.2635109689
55	0.2613018954
56	0.2600602413
57	0.259085926
58	0.2578529149
59	0.255712631
60	0.2538212696
61	0.2525448976
62	0.2515457892
63	0.2504247764
64	0.2484271157
65	0.2473879877
66	0.2459511658
67	0.2446176796
68	0.2432088537
69	0.2412266496
70	0.2395694206
71	0.2386898532
72	0.2380072358
73	0.2371227796
74	0.2363959612
75	0.2344425956
76	0.2331196653
77	0.2317468833
78	0.2307074106
79	0.2293015015
80	0.2281584236
81	0.2275273002
82	0.2267402745
83	0.2252448711
84	0.2240480539
85	0.2233096746
86	0.2218808148
87	0.221150253
88	0.2202190772
89	0.2190700463
90	0.2183248288
91	0.2174382706
92	0.2164089049
93	0.2152474422
94	0.2145748257
95	0.2132933938
96	0.212199415
97	0.2109763344
98	0.2104513975
99	0.209906234
100	0.2088202588
101	0.2076788071
102	0.2067592133
103	0.2054433069
104	0.2046698431
105	0.2037604492
106	0.2026664234
107	0.2013793052
108	0.2002995476
109	0.1992887118
110	0.1987753327
111	0.1980432243
112	0.1967534485
113	0.1960331623
114	0.1953466791
115	0.1946885454
116	0.1940706671
117	0.1927814404
118	0.1922310756
119	0.1914539187
120	0.1903687191
121	0.1898790867
122	0.1892485593
123	0.1887966503
124	0.1880775399
125	0.1875447307
126	0.1865489507
127	0.1858111321
128	0.1851717625
129	0.1845537696
130	0.1838464394
131	0.1829954265
132	0.1823907381
133	0.1815305462
134	0.1807137244
135	0.1803291451
136	0.1794095874
137	0.1788487349
138	0.1780056389
139	0.1770205744
140	0.1764745281
141	0.1756905041
142	0.1754237578
143	0.174813451
144	0.1741317092
145	0.173558303
146	0.1729392617
147	0.1722264992
148	0.1718525972
149	0.1711323329
150	0.170622832
151	0.1698954
152	0.169253258
153	0.168580052
154	0.1680468685
155	0.1678014762
156	0.1673415641
157	0.1666818617
158	0.1659892154
159	0.1653007595
160	0.1648295187
161	0.1643875858
162	0.1638282673
163	0.1635699227
164	0.1630930721
165	0.1626246569
166	0.162141731
167	0.161734388
168	0.1610461402
169	0.160600407
170	0.1601474053
171	0.1596706203
172	0.1592263875
173	0.1587243953
174	0.1583946384
175	0.1577173886
176	0.1573611912
177	0.1570334674
178	0.1566484922
179	0.15616284
180	0.1556431235
181	0.1552780843
182	0.1549990068
183	0.1546744518
184	0.1544404498
185	0.153888945
186	0.1533243388
187	0.1528592529
188	0.1523878152
189	0.1518757666
190	0.1517005603
191	0.1513094956
192	0.1509017016
193	0.1504674698
194	0.1499135061
195	0.149569449
196	0.1490624432
197	0.1486355132
198	0.148418437
199	0.1479651698
200	0.1475106451
201	0.1472432543
202	0.1466701962
203	0.1463326409
204	0.1459711874
205	0.1456288569
206	0.1452120232
207	0.1448720478
208	0.1444582177
209	0.1439049542
210	0.1433184122
211	0.1427956262
212	0.1426015057
213	0.1421516441
214	0.1418141881
215	0.1413715008
216	0.1407980926
217	0.1405686351
218	0.1401142079
219	0.1396100977
220	0.1392829205
221	0.1389276572
222	0.138656909
223	0.1382996402
224	0.1380367291
225	0.1377721812
226	0.1373417646
227	0.1370119305
228	0.1366866656
229	0.136463917
230	0.1360938173
231	0.1357609481
232	0.1353830046
233	0.1351224036
234	0.1348031476
235	0.1346728127
236	0.1343292549
237	0.1339752295
238	0.1335664276
239	0.1332429572
240	0.1329409884
241	0.1326754684
242	0.132393918
243	0.1321157613
244	0.131536228
245	0.1313049926
246	0.1310180867
247	0.1305424675
248	0.1301404037
249	0.1299044662
250	0.1294553462
251	0.1292075958
252	0.1288609973
253	0.1283991933
254	0.1281335019
255	0.1278817861
256	0.1275620498
257	0.1271802894
258	0.1268886534
259	0.1266088822
260	0.126193883
261	0.1259808971
262	0.1254882229
263	0.125177089
264	0.1248652781
265	0.1243541633
266	0.1240255651
267	0.1236377445
268	0.1233444566
269	0.1231150661
270	0.1228916895
271	0.1225479951
272	0.1222618927
273	0.1218903583
274	0.1216172544
275	0.1212713879
276	0.1209274962
277	0.1205523648
278	0.1202706122
279	0.1199860079
280	0.1195879986
281	0.1193372493
282	0.1190364967
283	0.1187577185
284	0.1182006936
285	0.1179350707
286	0.1175257492
287	0.1173232192
288	0.117015214
289	0.1166394318
290	0.1164031466
291	0.1161320452
292	0.1159827561
293	0.1157310127
294	0.115503592
295	0.1151639705
296	0.1149368268
297	0.1147880508
298	0.1145744644
299	0.114331026
300	0.1140556154
301	0.1138235821
302	0.1135468167
303	0.1132518564
304	0.1129887501
305	0.1129000257
306	0.1127370168
307	0.1125097534
308	0.1122048185
309	0.1119000033
310	0.1116429794
311	0.1113820406
312	0.1111211734
313	0.110794182
314	0.1106286069
315	0.1104681394
316	0.1102059322
317	0.1099358591
318	0.1096479196
319	0.1094690784
320	0.1091827142
321	0.1088250658
322	0.1086533126
323	0.1085030724
324	0.1083902222
325	0.1081405746
326	0.1079152792
327	0.1076455101
328	0.1072925954
329	0.1070364546
330	0.106866707
331	0.1066130636
332	0.1063591167
333	0.106169785
334	0.1060643619
335	0.1057836015
336	0.1055205131
337	0.1053395773
338	0.1051001239
339	0.1048750305
340	0.1046725832
341	0.1043776467
342	0.104211874
343	0.1040769755
344	0.1037743088
345	0.1034487546
346	0.1031573422
347	0.102882839
348	0.1026603966
349	0.1024064138
350	0.1022302769
351	0.101983397
352	0.1017671739
353	0.101446733
354	0.101271606
355	0.1010568965
356	0.1008046585
357	0.1006798346
358	0.100438699
359	0.1001876133
360	0.1000170455
361	0.09975903431
362	0.09958137757
363	0.09938347726
364	0.09915820251
365	0.09895502904
366	0.09865596214
367	0.09839982017
368	0.09818496452
369	0.09801921952
370	0.09789385879
371	0.0976504212
372	0.0973272144
373	0.09704556173
374	0.09679121027
375	0.09667759035
376	0.096522641
377	0.09634197461
378	0.0961837263
379	0.09597353438
380	0.09577846203
381	0.0954731323
382	0.09521961573
383	0.09507053111
384	0.09490383482
385	0.09477028255
386	0.09467824999
387	0.0945118599
388	0.09423765684
389	0.09402004277
390	0.09384587247
391	0.0937163174
392	0.09358134181
393	0.09341526018
394	0.09325994778
395	0.09311805129
396	0.0929762923
397	0.09274739552
398	0.09264280325
399	0.092463093
400	0.09217041379
