iter	Passed	Remaining
0	5	5507
1	13	6498
2	18	6112
3	22	5692
4	27	5459
5	31	5171
6	35	5043
7	39	4901
8	47	5226
9	52	5169
10	56	5107
11	68	5604
12	76	5783
13	80	5678
14	86	5687
15	90	5591
16	94	5445
17	97	5342
18	106	5502
19	112	5507
20	117	5482
21	124	5533
22	128	5447
23	135	5493
24	140	5469
25	149	5611
26	154	5567
27	160	5571
28	166	5589
29	175	5670
30	180	5637
31	191	5784
32	195	5716
33	200	5696
34	209	5771
35	214	5750
36	220	5732
37	225	5709
38	231	5713
39	235	5656
40	239	5608
41	244	5586
42	251	5597
43	256	5572
44	266	5647
45	274	5686
46	284	5769
47	289	5738
48	293	5698
49	297	5661
50	302	5624
51	308	5626
52	314	5622
53	322	5655
54	327	5625
55	334	5641
56	341	5645
57	350	5691
58	357	5698
59	361	5669
60	370	5696
61	376	5692
62	381	5671
63	388	5681
64	392	5646
65	398	5644
66	406	5661
67	411	5644
68	418	5648
69	421	5601
70	426	5584
71	431	5556
72	437	5550
73	440	5514
74	444	5477
75	448	5454
76	452	5429
77	457	5405
78	460	5370
79	464	5345
80	470	5337
81	476	5329
82	480	5303
83	484	5278
84	487	5244
85	492	5234
86	496	5213
87	500	5184
88	504	5159
89	507	5133
90	511	5108
91	515	5087
92	519	5065
93	524	5051
94	529	5040
95	533	5021
96	538	5008
97	542	4990
98	546	4969
99	549	4945
100	553	4922
101	557	4908
102	561	4892
103	564	4866
104	568	4841
105	571	4817
106	573	4787
107	576	4764
108	581	4751
109	586	4746
110	590	4729
111	594	4714
112	597	4688
113	600	4668
114	603	4647
115	607	4632
116	612	4620
117	618	4620
118	624	4622
119	627	4599
120	631	4587
121	636	4577
122	642	4580
123	646	4569
124	650	4552
125	653	4531
126	657	4518
127	663	4520
128	667	4509
129	670	4488
130	674	4472
131	677	4454
132	680	4436
133	685	4428
134	689	4415
135	693	4405
136	697	4392
137	700	4378
138	705	4369
139	709	4357
140	713	4346
141	717	4337
142	722	4328
143	726	4320
144	730	4308
145	734	4296
146	738	4283
147	741	4269
148	746	4260
149	749	4248
150	754	4243
151	759	4239
152	763	4227
153	767	4215
154	771	4205
155	774	4188
156	778	4180
157	782	4168
158	785	4156
159	790	4150
160	793	4135
161	797	4123
162	801	4117
163	805	4104
